iter,proj_loss_train,proj_psnr_val,global_psnr,voxel_mean,voxel_std,voxel_p1,voxel_p50,voxel_p99,num_gaussians,density_mean,density_std,scale_mean,scale_std,densify_added,prune_removed,proj_minus_voxel_psnr,gaussian_delta
1400,0.0020187799818813,44.88541512960741,13.019742348980063,0.2596738338470459,0.1629460304975509,0.0730191320180893,0.1858915835618972,0.6919362545013428,93665,0.0260565467178821,0.0121801635250449,0.040393128991127,0.0160398390144109,341,3,31.865672780627346,338
1500,0.0020720653701573,45.23863586606858,13.021126591829193,0.2596575617790222,0.1632823944091797,0.0731633380055427,0.1859079003334045,0.691200852394104,93984,0.0263225976377725,0.0125983003526926,0.0403750501573085,0.0163288190960884,324,5,32.21750927423938,319
1600,0.001982461893931,44.69798657159525,13.01669001190641,0.2600091099739074,0.1635496318340301,0.0739837810397148,0.1859835088253021,0.6931405067443848,94317,0.0265828315168619,0.012986758723855,0.0403685607016086,0.0166073236614465,337,4,31.68129655968884,333
1700,0.002004228066653,45.19687643342952,13.014296906256275,0.2602361142635345,0.1634178161621093,0.0739074498414993,0.1861434876918792,0.6921325922012329,94653,0.0268145576119422,0.0133082987740635,0.0403642021119594,0.0168959107249975,339,3,32.182579527173246,336
1800,0.0021296902559697,45.35131969386556,13.0067417057729,0.2602376639842987,0.1637847274541854,0.0744558423757553,0.1861859261989593,0.6936533451080322,94997,0.0270269121974706,0.0136454217135906,0.0403543673455715,0.0171527434140443,346,2,32.34457798809267,344
1900,0.0021177073940634,45.41451488916893,13.01006401244788,0.2601780891418457,0.1635782420635223,0.0750620365142822,0.185917854309082,0.6942253112792969,95279,0.0272492934018373,0.0139942280948162,0.0403408408164978,0.0173895135521888,283,1,32.40445087672104,282
2000,0.0020359547343105,46.03957802138308,13.002193828502255,0.2602362036705017,0.1640526503324508,0.0751596540212631,0.1856289207935333,0.6949039697647095,95570,0.0274649858474731,0.0143249919638037,0.040333092212677,0.0176248047500848,294,3,33.03738419288082,291
2100,0.0018983943155035,45.552292867995554,12.980667620460276,0.2604581713676452,0.1645496487617492,0.0751484557986259,0.1858600825071334,0.6964675188064575,95789,0.0276890937238931,0.0147025482729077,0.040340881794691,0.0178648978471755,223,4,32.57162524753528,219
2200,0.0023155359085649,46.31927062256995,13.001680980496586,0.2604259252548218,0.1641867458820343,0.0759300515055656,0.1859026849269867,0.6949264407157898,96063,0.0278928950428962,0.0150293037295341,0.0403379313647747,0.0180878173559904,276,2,33.317589642073365,274
2300,0.0020679836161434,45.76298446133548,13.004994245670929,0.2605535089969635,0.1640924960374832,0.0751329213380813,0.1862504184246063,0.6942119598388672,96306,0.0280945673584938,0.0153802772983908,0.0403353907167911,0.0183012802153825,254,11,32.75799021566455,243
2400,0.0020018247887492,46.08958955389496,12.991344899590178,0.2605396509170532,0.1647027879953384,0.0759011879563331,0.1855243742465973,0.6968930959701538,96577,0.0282863099128007,0.015717826783657,0.0403405837714672,0.0185302272439003,280,9,33.09824465430478,271
